Fri Jun 11 23:24:16 BRT 2021 - Log - Iniciou a aplicacao1

Sat Jun 12 17:10:55 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:10:58 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:02 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:06 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:09 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:12 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:15 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:19 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:22 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:26 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:29 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:32 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:35 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:39 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:42 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:45 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:48 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:52 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:56 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:11:59 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:03 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:06 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:09 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:13 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:16 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:19 BRT 2021 - Log - Inseriu os dados da CPU
Sat Jun 12 17:12:23 BRT 2021 - Log - Inseriu os dados da CPU
